userName,score,at,content
Aisya Azhar,4,2024-05-17 21:24:24,"1. udah di update setiap kali ada update-an terbaru, tapi ntah kenapa kaya sama aja kaya dulu sebelum di update (ga ada perubahan njir) 🤓❓️ 2. please add dark mode for Android (walaupun ada beberapa Android yang bisa tapi ga semua njir, contohnya hp ku 💀💀) sekian....💋💋"
TRYZ SANZ,1,2024-05-17 20:58:08,"Sistem apknya sok asik video udah dibawah 10Mb masi dikompres gangotak. Trus setiap saya upload Video selalu di feed pdhl gada unsur"" bugil atau yang lain semacamnya tp selalu di feed."
yona christofer,1,2024-05-17 19:49:38,Tiktok eror mau masuk aplikasi tidak bisa. Harus unistall kemudian download lagi baru bisa masuk. Berungkali kayak gitu Hadeh
Andi_AnkRantau 323,2,2024-05-17 19:48:17,Saya sudah lama memakai apk ini. Semakin lama semakin mahal harga top up koin. Tpi penghasilan dari live separuh di potong sama yang punya apk. Tolong dong harga potongan nya dari hasil live jangan besar kali.
Bismillah Hirohman nirohim,3,2024-05-17 19:29:36,"Maaf saya kasih bintang 3 dulu,karena terkadang tiktok tidak bisa di buka dan harus di refres supaya tiktok bisa di buka,dan kalau ini bug mohon di perbaiki lebih lanjut 🙏"
Septi 2023,2,2024-05-17 19:27:44,"Semenjak tiktok shop kerja sama dengan Tokopedia, tiktokshop punya saya jadi lemot parah! Setiap mau pesen barang pasti keluar sendiri, trs tiap liat live juga langsung keluar sendiri. Pokoknya jelek bangetttttttttttttt"
Aulli Tifani,2,2024-05-17 18:48:55,"Tiktok kenapa sih, video nya sering nge lag yg foto juga gambar nya gak muncul, padahal pake wifi jaringan nya juga bagus"
Susi Lawati,2,2024-05-17 18:44:01,"tiktok sekarang tambah parah ,, setiap upload video. di bisukan terus suara nya ...padahal durasi video udah di kurangi ..bahkan sampe 1 menit ..bikin pusing .jelek parah nih tiktok,, ga profesional.."
Jiminie Pabo,2,2024-05-17 18:28:39,"Sekarang tiktok shop udah gak ada voucher ongkirnya lagi jadi kalau mau check out barang ongkirnya bisa lebih mahal daripada barang yang mau dibeli, kecewa banget😞"
Nono Taryono,4,2024-05-17 18:10:12,"Hai, ada yang sama ga, ga bisa menambahkan ulasan selesai pesan di tiktok shop. Sudah menulis ulasan dan pencet kirim malah ga ke kirim. Pas coba kirim lagi malah muncul tulisan ""Anda tidak bisa menambahkan ulasan baru"" itu kenapa ya? Sudah dua kali saya seperti ini. Dan tolong tiktok perbaiki. Saya terus ditagih untuk menulis ulasan. Tapi dikirim saja tidak bisa."
Carlos Hutapea,3,2024-05-17 17:49:10,Tiktok knpa si masa setiap mau buka mesti di upgrade dulu baru bisa buka aplikasi..agak Laen ini aplikasi
Firman Saloko,1,2024-05-17 17:26:15,Aplikasi nyah sering ngelag dan pengunaan data internet terlalu boros tida sesuai.. Harga top up koin semakin mahal. Aku hapus tida berguna sama sekali niat mau hiburan malah ngebangkrutin
Ridwan Ardiasyah,2,2024-05-17 17:11:18,Kecewa sama tik tok saat 1000 rb followers udh ke buka fitur live nya yg aneh knp tidak bisa live game saat login ke game nya knp ke jeda sendiri tolong perbaiki secepatnya terimakasih 🙏
Ridho ffn09,3,2024-05-17 16:51:13,"kenapa ya setiap buka komen pas mau liat balasan malahan gak muncul, padahal sinyal lancar aja aneh bgt. bug nya dibenerin tolong"
Elfira,3,2024-05-17 15:34:37,"Tiktok apk y bagus sih , cuma anehh bett masa gw harus pencet berkali-kali biar bisa masuk tiktok, capek banget harus install apk ini nnti download lagi nanti ngelag lagi, awalnya di kira hp gwah bermasalah tapi ini udah sering banget di hp ayah juga gitu ternyata"
muhamad awaludin,5,2024-05-17 14:06:57,"makasih developer udah bikin aplikasi tiktok, dari sini gua bisa tw kalo mntn gua selingkuh + pp couple tag akun di bio, aneh nya gua baru dowload tiktok kenapa ga mergokin dri dulu andai kalo gua ga bosenan sama tiktok pasti gabakal gua hapus dan bisa tw dari dulu kelakuan tuh manusia mahluk mengerikan. bagus banget aplikasi nya bisa liat akun tiktok yg sekontak sama kita."
Yaudah Iya,3,2024-05-17 13:47:29,"overall bagus tpi ada beberapa bug, dan yg paling buruk nya yaitu memutar video dilatar belakang, sering terjadi lag dan tidak bisa memutar video padahl sinyal bagus, trus tidak bisa memperbesar video yg di putar di latar belakang sehingga ukuran video nya jadi sangat kecil seharusnya bisa memperbesar dan memperkecil ukuran layar video yg berada di latar belakang"
Salim Salim,3,2024-05-17 13:42:44,tik tok setelah update malah banyak masalah contoh saya mau buka tik tok gak bisa Mulu udah nyoba di play store buat buka juga gabisa saya kecewa tolong di perbaiki developer nya kalo udah ku bintang lima in terimakasih
Marsya Nur,1,2024-05-17 13:04:36,"Akun saya tidak bisa mengikuti akun orang lain (akam otomatis batal jika mengikuti), jika saya menulis komej juga terkadang suka hilang sendiri. Saya sudah menulis laporan beberapa kali tapi tidak ada respon ataupun perbaikan, padahal sudah ada 2 bulan. SEGERA. PERBAIKI."
Muhammad Irfan,4,2024-05-17 12:22:21,"asli hari'ini aku jdi emosi banget karena ini tiktok makin lama versi nya makin aneh,tolong ya Diperbaiki apk nya karena setiap buka tiktok eh malah ngelag trus gabisa ditekan apa apa lama kelamaan HP aku yg rusak bisa ku banting klw begini trus kan emosi jadinya,tolong di perbaiki ngebug atau yg lain' seperti dlu udah lumayan enak tapi sekarang malah kebanyakkan ngebug serta lelet ku kasih bintang 4 dlu biar stabil nantinya"
Riana Nur'aini,4,2024-05-17 12:22:15,"Aplikasi ini sangat bagus dan menarik,tapi kalo pas saya mengedit video saya tiba tiba tiktoknya langsung error' tiba tiba pas saya lagi ngedit tiba tiba keluar dri aplikasi tiktoknya."
Eka Rian Andika Railfan,1,2024-05-17 11:44:29,"Ini kenapa setelah di update, apps-nya gak bisa kebuka, loading terus sampai HP jadi ngehank? Ada bug-nya kah? Padahal memori penyimpanan tidak penuh dan RAM normal. Edit: setelah diupgrade, apps-nya dibuat scroll² agak berat dan suka ngelag. Tolong diperbaiki lagi appsnya."
Aziz Aziz,2,2024-05-17 11:21:43,"Kaga jelas, sering keluar sendiri sama ga bisa di buka, padahal penyimpanan masih banyak plus sinyal lancar, tolong di kondisikan ini, konsep pe pie Iki🤦🏻"
Kamu Nanya,5,2024-05-17 11:15:01,"Tiktok sangat menyenangkan,untuk menonton dan dll,tpi kan saya buat vidio nih di tiktok, terus sa mau simpan ke galeri waktu saya liat di galeri nama tiktok saya ikut juga,terus temen saya kalau vidio di tiktoo terus simpan di galeri gak ikut tuh nama tiktoknya gak ikut ke simpen,terus itu kan ada yah kalau mau nyimpan vt nya di galeri ada baca nya menyimpan, saya pencet tuh kalau org org kayak langsung tersimpan yah saya nggak ada angka""gitu kayak berputar gitu kenapa yah?"
Elpira Rini,1,2024-05-17 10:50:31,"Kenapa sih sudah laporan puluhan kali app tiktok gk bisa terbuka tapi gk ada tanggapan , Instal ulang puluhan kali tetep aja gk kebuka , payaaaaahhhhhh"
Bpk. H P S Tendel,5,2024-05-17 10:12:43,"Assalamualaikum......apk ini bagus,walaupun kadang kadang daftarnya susah..,TPI sy senang di apk ini bisa,fto,vedeo,filter bagus,dn menemukan info info bermanfaat serta menghibur,segitu ulasan dari saya makasih.."
Irul Efendi83,3,2024-05-17 09:12:20,Aplikasinya bagus banget tapi tolong diperbaiki karena saat aku ingin membuat vidio sering saja ngelag atau error mohon maaf kalo ada kesalahan dan aku minta maaf banget kalo ada yang salah
AGHA OFFICIAL,2,2024-05-17 08:33:51,"Tolong perbaiki, saya mau ganti foto profil, malah gabisaa, ngebug! Tidak bisa mengganti foto profil, saya mohon perbaiki segera.."
galih ardianto3,2,2024-05-17 07:13:27,"habis update Nih tiktok jadi aneh,tiba tiba keluar sendiri,habis itu masuk ke tiktok sampe aplikasinya sy pencet2 ga bisa masuk,perlu direstart terus biar bisa masuk.....udah updatenya habisin kuota,makan banyak memory tamvah parah stucknya,aq kasih bintang 2,jika masih parah aq kasih bintang 1...!"
Yahya Prasetyo,5,2024-05-17 07:09:52,Memang aplikasi bagus dan mantap tapi sayang nya kalo udah di dwonload kalo udah lama kadang di link gk bisa mohon di berbaikan ya 🙏🙏🙏
Iwan Karo,1,2024-05-17 06:43:40,"Baru beberapa hari maen Tiktok Tombol Reward nya ilang tugas gada udh menghubungi cs jawaban nya ""Mohon Maaf atas ketidaknyamanan', malah makin ngelag....ngabisin kuota dan waktu aja."
mumu muchyan,5,2024-05-17 05:47:57,"Yang penting jangan ada berita hoax..permudah arahan jangan terlalu panjang redaksinya, singkat padat jelas ( SPJ ) terhadap yang aktif pengguna hp,karena tidak semua orang bisa menangkap dengan benar kalau terlalu panjang.demikian terima kasih."
Widya rahma,2,2024-05-17 05:32:19,"haiii maaf sebelumnya saya kasih bintang 2, mengapa ya saat saya masuk ke apk tiktok ada pemberitahuan tiktok terus berhenti, dan itu muncul setiap saat ketika saya membuka apk tiktok, kejadiannya kemarin Kamis dan saya sudah menunggu selama 1 hari tidak membuka apk tik tok dan terus ada pemberitahuan tiktok terus berhenti, tolong ya minnn"
Sholehahmad,2,2024-05-17 02:06:03,"mengapa selalu kembali sendiri disaat mau dibuka?ntah ini ngebug atau gimana yang jelas sudah berkali kali kejadian seperti ini, apa perlu instal uninstall setiap hari biar bisa dibuka?tidak pernah ada masalah dengan apknya mengapa sering seperti ini?tolong untuk segera diperbaiki!!!"
Maya Karin,1,2024-05-17 01:16:12,"Tik tok ngelag sendiri, shop tiba2 ilang Filter jg kalo hp yg udah jadul ato menengah kebawah gak bisa pake semua filter Apa harus pake hp mahal yg harganya ?? Pdhal ram, wifi, signal mode data aman, knp ngelag2 mulu njiirrrr bikin emosi doang"
Wiwin Yndaa,1,2024-05-17 00:06:45,"Kenapa tik tok saya eror gak bisa di buka trs udah berapa kali hapus data masih eror kecuali download lagi,masa iya hapus download lagi,hapus download lagi enak kalau banyak paket?"
reyvaalianax,4,2024-05-16 23:36:20,"aplikasinya bagus, mengisi waktu luang walaupun sekarang ada iklan sih, padahal dulu jarang banget ketemu iklan, skrng mah 40% iklan hahaha, sering bgt kepencet iklan dan masuk ke web atau playstore."
Media Liputanesia,1,2024-05-16 23:07:07,"Kalau sudah tidak bisa diproses video promosinya, uang nya tolong dikembalikan, di notifikasi katanya akan dikembalikan ke akun pembayaran, tapi nyatanya uang tidak ada masuk sama sekali...bintang 1 untuk kanal promosi tiktok"
Kusyono Balongrejo,3,2024-05-16 22:08:19,maap saya kasih bintang 3 dulu dikarenakan saat meng upload video padahal resolusi sudah hd tapi pas dilihat di hp orang lain buram
curlwlrds,1,2024-05-16 21:38:25,"makin lama makin kacau ni tiktok ada apaan tiktok?semenjak update terus jadinya makin jelek banget banyak kekurangan tentang seperti frame/patah²,lag dan freeze saat upload foto/video,resolusi dan ukuran video menjadi tidak sesuai kedepanya bkin lebih bagus dong!!!biar makin meningkat ni!"
Fitri Maghfiroh,1,2024-05-16 21:11:13,"Sebenarnya gk tauk ini tiktok kenapa padahal awalnya nyaman nyaman ajah tapi kenpa sejak di update malah ncur, lmot, lelet kadang keluar sendiri tolong klw di update itu harusnya makin bagus ini malah memper buruk!!!"
Dede Krisna,2,2024-05-16 21:09:19,"Kenapa tiktok beberapa bulan ini ga bisa dibuka,pencet apk kembali lagi, tolong perbaiki karna ini apk video yg bagus"
Ahmad Rabawi,5,2024-05-16 20:32:20,"ini knapa tiktok ga bisa di buka malah di kasih notif tiktok gagal memulai beberapakali. pulih kan dengan bersihkan riwayat, apus cehce udh apus data udh apus tiktok udh smpe download ulang masi tetep ga bisa di buka solusi nya gmna nih"
Nida Fadjria,2,2024-05-16 20:06:53,"tolong balikin tiktok yg dulu, kalo foto di tiktok itu biasanya ga ada watermark nya tapi kenapa sekarang maksa bgt buat post dulu baru gaa ada watermark nyaa!, saya kecewa karna saya tidak suka posting apapun di tiktok"
Bintang Reya Maharani_07,4,2024-05-16 19:45:31,"Semua bagus kecuali pas upload video dgn resolusi hd, kenapa pas diupload resolusinya menurun? Padahal resolusi hd itu yg bikin video fyp, klo ga hd pasti hasilnya jelek dan ga fyp. Udah pencet ""izinkan unggahan berkualitas tinggi"" dan udh pake segala hacks juga biar resolusinya ga turun tapi tetep aja begitu, sedih banget:("
Isi Ref SeaBank VPDWDJ dptbonus,5,2024-05-16 19:43:38,"Sangat bagus dan pastinya memberikan kepuasan bagi kamu yang pengen mendapatkan tambahan penghasilan ya, konten konten nya pun dijamin memberi kan kepuasan bagi para pengguna nya, selain itu pula kita bisa mendapatkan berbagai informasi dari berbagai belahan dunia, seperti tempat wisata, kuliner dan masih banyak lagi informasi yang bisa kita dapat kan disni. Sejauh ini aplikasi nya masih menjadi yang terbaik ya sepanjang masa. Puas banget menggunakan aplikasi ini menonton video"
Daffa Aditya,1,2024-05-16 19:11:27,"Tik tok shop ga jelas , masa gw abis checkout barang kaga ada notifnya kalo udh kepesen,pas saya mesen lagi terus pas saya liat baru ada notifikasi udh di pesennya + pas ga bisa di batalin baru ada dasar tik tok goblog suka ngebug kaga jels"
Danu Apan,1,2024-05-16 18:50:36,GX jelas x sekarang akun TikTok ne baru semalam di download pas pagi nya mau buka GX bisa lagi harus di delete dan di download lagi Begitu sudah di download di isi no hp malah di bilang frekuensi ini terlalu sering apa maksud nya emang GX jelas lagi NE akun TikTok Makin gak jelas TikTok NE baru bentar di install sudah harus di delete lagi apa maksud nya NE
Ahmad Yulianto,4,2024-05-16 18:40:46,"Pemakaiannya 100 mb ya tetap 100 mb walaupun ada wifi di tetangga aku dan tolong diperjelas lagi videonya jernih ataupun sangat jernih biar lebih jelas pakai wifi dan mendetail, seperti douyin 🥺"
Subhy Nugroho,3,2024-05-16 17:41:10,"bagus si buat foto,video, tapi kenapa di saya gak ada tiktok shop nya? apa memang sudah tidak ada lagi tiktok shop ? pas kemaren download tiktok semua video bisa posting ulang. tapi skrg semua video sudah tidak bisa lagi di posting ulang. mohon dong di perbaiki lagi kenapa bisa kaya gitu. kasih rating 3 aja karena belom full bagusnya."
Hayza tussa'da,1,2024-05-16 17:38:53,"Saya tidak tahu harus menjelaskan bagaimana, tiktok saya sering kali tidak bisa di buka setelah 2 hari. Aplikasi tidak bisa di buka selama berhari-hari, jadi saya uninstall dan install lagi, masih sama. Setelah 2 hari di pakai setelahnya tidak bisa lagi, saya tidak tahu harus bagaimana."
Muh farid Firjatullah,1,2024-05-16 17:08:54,"Kenapa sih kadang ga mau ke buka udah di uninstall baru bisa ga lama kemudian ga bisa di buka lagi,,,udah pake banyak cara sama aja tetep ga bisa,,,bikin kesel aee dah"
Ziwana Rizwan Pramudia,1,2024-05-16 16:41:23,"aplikasi masih banyak bug di online shopping nya, mau pesen aja kagak bisa aneh banget , coba di benerin, bayar developernya yang mumpuni"
eefteha,4,2024-05-16 16:31:11,"Saran aja buat tiktok, tolong bikin jalan pintas untuk unfoll kecuali teman. Soalnya kalo pake clicker takutnya teman kita ikut ke unfoll. Jadi intinya bikin jalan pintas buat pengguna yang memiliki banyak daftar mengikuti, SEMOGA DIBACA🙏🙏🙏"
Ummu Humaira Ridwan,5,2024-05-16 14:01:32,"aplikasi ini sangat bagus untuk saya yg kreator tiktok dan saya sangat bersyukur krna ad aplikasi ini jdi waktu saya bisa terisi dongg dan biasanya jga aku buat konten atau live di tiktok untuk menjual baju dan sptu,saya memberi bintang lima kepada aplikasi ini"
Eno Agustin,1,2024-05-16 13:27:52,"Tiktok sekarang kok sering error' ya,, kadang gak bisa di buka,udah di penjet beberapa kali tetap gak bisa,udah di update juga tetap gak bisa,,"
Gloria dong,1,2024-05-16 13:15:41,"Hmmm..Kok jelek banget ya sekarang aplikasinya? Selalu loh, SELALU kalau buka tiktok, SELALU tiba2 keluar dari aplikasi.. Bikin nguras emosi aja wkwkwk, pdhl memori gk penuh, aman2 aja, tapi kok kayak gini? Apa karena memang aplikasinya buruk? jadinya kayak gini? Wkwk gatau deh.. Apa harus di rate bagus ya? Baru gak ada kendala kaya gini? Makin lama, makin buruk.. Sblm masuk ke akun sih gak ada gangguan kaya gini, semenjak login aja, jadi ada kendala kyk gini. kl ad bintang 0, ku kasih bintang 0"
ASEP DWI BUDI HANTORO,1,2024-05-16 13:10:22,"Semakin di update kualitasnya semakin bagus,tapi sayangnya aplikasi TIKTOK makin susah naikan followersnya,pesan lewat inbox juga kena banned,tidak bisa buat pesan atau belanja online,mohon untuk kedepannya di tinjau ulang"
Lutfi dmsrkhnYt,1,2024-05-16 13:05:31,tiktok sekarang nambah gak jelas. masak upload konten kena pembatasan mulu. pdahal udah di edit lebih hd/smooth.sering ngebug. betulin tuh aplikasi. mau bangkrut ini aplikasi
Wakil Baggin,3,2024-05-16 12:56:12,"Tiktod sekarang tidak stabil, banyak bug, sering bikin hape lag kemudian berujung hang, padahal hp saya kapasitas ram nya besar,,, aneh apk satu ini, berat banget sumpah, ram sisa 4gb, pas buka ni apk, malah cuma mucul logo saja, gak bisa masuk beranda, udah gitu hp langsung hang, dan ram nya tersisa berapa? tersisa hanya tinggal 600 mb!!! Gila ni apk, gak tau ngapa temen saya juga gitu, woy developer benerin dong! gimana mau liat tiktok saya kalau begini terus!"
Naira Putri,1,2024-05-16 12:40:04,Sudah di perbaharui malah tidak bisa berfungsi mau nonton malah tidak bisa terpaksa di dalete trus download ulang sampai habis kuota setiap mau nonton harus di dalete trus download ulang ketika sudah tidak bisa di tekan lagi huftt mohon di perbaiki lagi
laila istiqomah,1,2024-05-16 09:57:58,"Video sendiri waktu di download tanpa watermark selalu ga pas, jadi lebih lambat dari video yg di tt"
HeksaaZ,1,2024-05-16 09:50:19,"aplikasinya ngebug gabisa di buka sama sekali, mohon bantuannya kepada pihak tiktok untuk membenarkan hal tersebut"
Juraida Fitri,1,2024-05-16 09:15:58,Tolong bantuannya saya tidak bisa login dan mereset.. awalnya saya mau co tp tdk bisa bayar menggunakan pembelian apa lalu saya logout skrg malah gabisa masuk..
ernawati erna,1,2024-05-16 08:42:34,"Akun saya udah diblokir, tapi mau login di google malah gabisa terus, ni aplikasi banyak mengatur, di akun lama saya banyak kenang-kenangan, hati aku sakit jika tidak melihatnya, tolong balikin akun saya.."
Mame Mubarok,5,2024-05-16 08:31:06,"Aplikasi ini sangat bagus buat yg kesepian dan tidak punya tmn,bisa buat hibur setiap hari nya dan bisa membuat orang"" pada ketawa oleh aplikasi ini,sy jg seneng banget ada aplikasi ini di play store, karena bisa menghibur kita setiap hari nya,tetapi aplikasi ini minus nya adalah menyedot data cukup bnyk sehingga kita tidak bisa hemat data,mohon aplikasi ini data nya jgn boros""☺️"
FFadhil G,1,2024-05-16 06:00:33,"Menu mengikuti nya mana ya, kok ilang. Apa gara2 tiktok Shop. Dah lah, kembalikan menu mengikuti disamping fyp. Mending pisah aj tiktok Shop dari tiktoknya sendiri."
Is Mendri,1,2024-05-16 05:07:33,Aplikasi tidak bisa dibuka!tolong diperbaiki. Ini sudah berkali-kali terjadi!dan harus di download lagi. Ini sangat menguras paket data saya.
Grace,2,2024-05-16 04:58:37,"Tolong lah, ini tiktok selalu minta uptade tapi fitur upload kualitas tinggi tetap aja blom ada di beberapa device terutama android, tolong dong min next update adain fitur upload kualitas tinggi jangan update efek terus"
Urip Margoyono,5,2024-05-16 04:54:11,"aplikasi nya bagus karena bisa belajar banyak hal, tapi ada satu kekurangannya yaitu sering bug padahal sinyal bagus memori juga masih banyak. itu saja si, semoga bisa dikembangkan lagi terimakasih"
Andika Prayoga,1,2024-05-16 00:01:05,"Hai tiktok,aku kalo buat video terus mau tak edit di tiktok kok gabisa ya,(tidak ada logo untuk editnya) ,adanya cuman pangkas sama sesuaikan klipp,mohon di perbaiki"
